Info 297  [16:59:15.551] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 25 structureChanged: false Elapsed: 127ms
Info 298  [16:59:15.551] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 299  [16:59:15.553] getCompletionData: Get current token: 0
Info 300  [16:59:15.553] getCompletionData: Is inside comment: 0
Info 301  [16:59:15.553] getCompletionData: Get previous token 1: 0
Info 302  [16:59:15.553] getCompletionData: Get previous token 2: 0
Info 303  [16:59:15.554] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 304  [16:59:15.561] getSymbolsFromOtherSourceFileExports: Using cached list
Info 305  [16:59:15.568] getCompletionData: Semantic work: 14
Info 306  [16:59:15.591] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 23
Info 307  [16:59:15.601] getCompletionData: Get current token: 0
Info 308  [16:59:15.601] getCompletionData: Is inside comment: 0
Info 309  [16:59:15.601] getCompletionData: Get previous token 1: 0
Info 310  [16:59:15.601] getCompletionData: Get previous token 2: 0
Info 311  [16:59:15.601] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 312  [16:59:15.609] getSymbolsFromOtherSourceFileExports: Using cached list
Info 313  [16:59:15.612] getCompletionData: Semantic work: 11
Info 314  [16:59:15.623] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 11
Info 315  [16:59:15.632] getCompletionData: Get current token: 0
Info 316  [16:59:15.632] getCompletionData: Is inside comment: 0
Info 317  [16:59:15.632] getCompletionData: Get previous token 1: 0
Info 318  [16:59:15.632] getCompletionData: Get previous token 2: 0
Info 319  [16:59:15.632] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 320  [16:59:15.637] getSymbolsFromOtherSourceFileExports: Using cached list
Info 321  [16:59:15.640] getCompletionData: Semantic work: 7
Info 322  [16:59:15.655] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 15
Info 323  [16:59:15.665] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 324  [16:59:15.721] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 26 structureChanged: false Elapsed: 56ms
Info 325  [16:59:15.721] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 326  [16:59:15.722] getCompletionData: Get current token: 0
Info 327  [16:59:15.722] getCompletionData: Is inside comment: 0
Info 328  [16:59:15.722] getCompletionData: Get previous token 1: 0
Info 329  [16:59:15.722] getCompletionData: Get previous token 2: 0
Info 330  [16:59:15.722] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 331  [16:59:15.729] getSymbolsFromOtherSourceFileExports: Using cached list
Info 332  [16:59:15.732] getCompletionData: Semantic work: 10
Info 333  [16:59:15.745] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 12
Info 334  [16:59:15.929] getCompletionData: Get current token: 0
Info 335  [16:59:15.929] getCompletionData: Is inside comment: 0
Info 336  [16:59:15.929] getCompletionData: Get previous token 1: 0
Info 337  [16:59:15.929] getCompletionData: Get previous token 2: 0
Info 338  [16:59:15.929] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 339  [16:59:15.935] getSymbolsFromOtherSourceFileExports: Using cached list
Info 340  [16:59:15.939] getCompletionData: Semantic work: 10
Info 341  [16:59:15.949] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 10
